brand,screen_size,harddisk,cpu,OS,price,integer_ram
Lg,17.0,1.0,Intel,Win,1787.62,16.0
Lg,14.0,512.0,Intel,Win,1299.99,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,15.6,512.0,Intel,Win,602.0,32.0
Hp,14.0,1.0,1.2GHz Cortex A8 Processor,Win,379.0,8.0
Apple,15.6,1.0,Intel,Mac,3699.0,64.0
Dell,15.6,512.0,Intel,Win,1578.21,16.0
Samsung,11.6,32.0,Celeron,Chrome OS,209.96,4.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,16.0,1.0,Intel,Win,3499.0,32.0
Acer,17.3,256.0,Intel,Win,478.99,12.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.5,512.0,Intel,Win,899.99,8.0
Dell,14.0,1.0,Intel,Win,1670.17,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Hp,15.6,256.0,Intel,Win,899.0,16.0
